"idobservation","nomedevice","tempo1","tempo2","tempo3","tempo4","tempo5","timestamp_column"
853600,"images",0.975213,0.885916,0.000033,0.249272,4.050332,"2024-09-25 19:03:30"
858541,"images",0.975420,1.197946,0.000031,0.249310,4.220602,"2024-09-25 20:13:50"
866223,"images",0.991640,1.253327,0.000029,0.245647,4.375838,"2024-09-25 22:01:57"
868640,"images",0.964368,1.485239,0.000034,0.245766,4.158930,"2024-09-25 22:38:21"
885899,"images",0.977513,0.884312,0.000033,0.247502,2.817781,"2024-09-26 02:39:44"
881344,"images",0.949771,1.223327,0.000033,0.244669,3.438785,"2024-09-26 01:34:47"
862834,"images",0.721438,1.199843,0.000027,0.244380,3.906540,"2024-09-25 21:14:19"
885596,"images",0.961638,1.356064,0.000032,0.244238,4.359384,"2024-09-26 02:35:31"
860280,"images",0.789971,1.415035,0.000031,0.246758,3.373514,"2024-09-25 20:39:34"
852111,"images",1.612772,1.534440,0.000054,0.249768,2.732697,"2024-09-25 18:44:02"
887330,"images",0.938305,0.938740,0.000032,0.247055,3.638163,"2024-09-26 03:00:46"
874713,"images",0.956330,0.886900,0.000034,0.244909,4.147481,"2024-09-26 00:01:52"
857659,"images",0.992968,1.379705,0.000031,0.281160,4.358438,"2024-09-25 20:00:13"
853069,"images",1.004105,1.211489,0.000033,0.248303,4.278111,"2024-09-25 18:58:07"
879949,"images",0.937482,1.170315,0.000031,0.244856,3.440373,"2024-09-26 01:17:02"
860732,"images",0.948070,1.581919,0.000033,0.248841,4.277917,"2024-09-25 20:46:20"
870809,"images",0.941202,0.935884,0.000032,0.245398,2.984865,"2024-09-25 23:06:41"
850954,"images",0.946955,1.267980,0.000030,0.372608,4.432189,"2024-09-25 18:27:16"
855340,"images",0.958819,0.780586,0.000033,0.244992,2.685404,"2024-09-25 19:29:44"
887258,"images",0.961475,1.326441,0.000032,0.244094,2.608357,"2024-09-26 03:00:00"
856711,"images",1.019360,1.357697,0.000031,0.288266,4.256875,"2024-09-25 19:49:36"
862540,"images",0.907958,0.890418,0.000043,0.245108,4.333078,"2024-09-25 21:09:55"
861975,"images",1.004943,1.582573,0.000032,0.248044,4.280560,"2024-09-25 21:01:48"
852157,"images",0.989722,1.337212,0.000032,0.245091,4.192438,"2024-09-25 18:45:01"
883643,"images",0.962646,1.876749,0.000032,0.241329,4.428506,"2024-09-26 02:09:47"
873556,"images",0.956865,1.402262,0.000039,0.245941,4.233544,"2024-09-25 23:44:31"
882384,"images",0.942040,1.309625,0.000030,0.242518,3.416562,"2024-09-26 01:50:41"
872639,"images",0.975200,1.481040,0.000034,0.245656,3.653947,"2024-09-25 23:34:31"
885202,"images",0.965837,1.409918,0.000033,0.253926,4.246638,"2024-09-26 02:28:37"
862853,"images",0.944385,1.597778,0.000031,0.241870,4.193649,"2024-09-25 21:14:41"
873002,"images",0.929650,1.331204,0.000030,0.247099,3.016367,"2024-09-25 23:36:42"
880531,"images",0.982129,1.211544,0.000032,0.243168,4.224449,"2024-09-26 01:25:32"
885492,"images",0.973218,1.344776,0.000034,0.248509,4.251814,"2024-09-26 02:33:50"
852128,"images",0.966252,0.884424,0.000034,0.251303,2.519502,"2024-09-25 18:44:37"
883655,"images",0.937157,0.877680,0.000034,0.249889,3.490284,"2024-09-26 02:09:02"
871471,"images",0.947447,1.354670,0.000034,0.245500,4.313741,"2024-09-25 23:17:26"
867171,"images",0.941377,0.893529,0.000030,0.242636,2.493919,"2024-09-25 22:16:37"
890267,"images",0.935847,0.885801,0.000033,0.250241,3.041129,"2024-09-26 03:41:14"
