"idobservation","nomedevice","tempo1","tempo2","tempo3","timestamp_column","valorteste"
3813177,"Images",0.316894,0.000880,0.041432,"2024-09-26 14:36:14",NULL
3821152,"Images",0.240378,0.000168,0.034666,"2024-09-26 17:04:23",NULL
3809317,"Images",0.316888,0.000879,0.038862,"2024-09-26 13:24:19",NULL
3820881,"Images",0.260081,0.000876,0.039133,"2024-09-26 16:59:23",NULL
3818377,"Images",0.221940,0.000164,0.023445,"2024-09-26 16:13:09",NULL
3831954,"Images",0.297093,0.000882,0.040870,"2024-09-26 20:24:28",NULL
3837035,"Images",0.296880,0.000895,0.025669,"2024-09-26 21:58:53",NULL
3811788,"Images",0.297252,0.000565,0.026830,"2024-09-26 14:10:21",NULL
3813622,"Images",0.247431,0.000556,0.030328,"2024-09-26 14:44:30",NULL
3837339,"Images",0.282420,0.000882,0.040837,"2024-09-26 22:04:32",NULL
3828639,"Images",0.243251,0.000926,0.036384,"2024-09-26 19:22:59",NULL
3837404,"Images",0.265606,0.000893,0.043861,"2024-09-26 22:05:45",NULL
3825750,"Images",0.260224,0.000173,0.025872,"2024-09-26 18:29:35",NULL
3810097,"Images",0.247183,0.012640,0.024642,"2024-09-26 13:38:48",NULL
3826885,"Images",0.259023,0.000878,0.042587,"2024-09-26 18:50:35",NULL
3838121,"Images",0.298621,0.000893,0.124422,"2024-09-26 22:19:00",NULL
3815607,"Images",0.258771,0.000898,0.039379,"2024-09-26 15:21:38",NULL
3827522,"Images",0.263324,0.000880,0.039767,"2024-09-26 19:02:19",NULL
3832517,"Images",0.378099,0.000885,0.045831,"2024-09-26 20:34:54",NULL
3810001,"Images",0.259801,0.000170,0.028683,"2024-09-26 13:36:59",NULL
3828139,"Images",0.277473,0.000876,0.027014,"2024-09-26 19:13:44",NULL
3810978,"Images",0.298818,0.000887,0.044950,"2024-09-26 13:55:13",NULL
3822253,"Images",0.358170,0.000969,0.039713,"2024-09-26 17:24:45",NULL
3808351,"Images",0.319409,0.000946,0.040724,"2024-09-26 13:06:20",NULL
3821251,"Images",0.298053,0.000570,0.027142,"2024-09-26 17:06:13",NULL
3820691,"Images",0.240230,0.000173,0.024102,"2024-09-26 16:55:53",NULL
3822112,"Images",0.240728,0.000164,0.022864,"2024-09-26 17:22:09",NULL
3832915,"Images",0.297764,0.000881,0.047828,"2024-09-26 20:42:21",NULL
3824602,"Images",0.259929,0.000883,0.045547,"2024-09-26 18:08:20",NULL
3838061,"Images",0.277419,0.000883,0.040690,"2024-09-26 22:17:53",NULL
3824305,"Images",0.278952,0.000164,0.021180,"2024-09-26 18:02:50",NULL
3822557,"Images",0.439175,0.000883,0.037849,"2024-09-26 17:30:21",NULL
3834255,"Images",0.265121,0.000564,0.036368,"2024-09-26 21:07:16",NULL
3826781,"Images",0.317194,0.000936,0.041768,"2024-09-26 18:48:38",NULL
3833029,"Images",0.221164,0.000165,0.023289,"2024-09-26 20:44:28",NULL
3808185,"Images",0.359131,0.000882,0.039362,"2024-09-26 13:03:13",NULL
3835789,"Images",0.277144,0.000882,0.039953,"2024-09-26 21:35:52",NULL
3817084,"Images",0.296807,0.000879,0.044724,"2024-09-26 15:49:08",NULL
3815990,"Images",0.299551,0.000879,0.037025,"2024-09-26 15:28:48",NULL
3815599,"Images",0.416465,0.041631,0.060809,"2024-09-26 15:21:30",NULL
3834844,"Images",0.347382,0.000932,0.031729,"2024-09-26 21:18:13",NULL
3826344,"Images",0.299016,0.000892,0.039954,"2024-09-26 18:40:33",NULL
3816734,"Images",0.297370,0.000891,0.043014,"2024-09-26 15:42:39",NULL
3833397,"Images",0.297107,0.000551,0.022626,"2024-09-26 20:51:19",NULL
3821610,"Images",0.280662,0.000891,0.043272,"2024-09-26 17:12:52",NULL
3808096,"Images",0.283090,0.000891,0.035964,"2024-09-26 13:01:34",NULL
3821459,"Images",0.484177,0.000890,0.035240,"2024-09-26 17:10:05",NULL
3837527,"Images",0.277201,0.000886,0.082682,"2024-09-26 22:08:02",NULL
